date,trading volume,Increase rate,rate of return,term,remaining,capital inflow,TZD-inflow,TZD-account,LB-received,LB-used,R-007,interbank rate,SHIBOR,SHA,GEM
3/4/15,91422618.97,,9.63106991,4.214826794,208653078.3,25167667.98,13514789,1169953,171370.99,137299,3.2,3.4797,3.446,3279.53,2009.83
3/5/15,128595781.5,40.660794,10.21094786,3.554193889,205438632.7,28201550.1,5067603,4609233,129478.34,228439,4.01,3.4607,3.433,3248.48,2014.79
3/6/15,111985745.6,-12.916470,9.397451832,5.136252925,210416112.2,14298184.24,4875912,7775304,902947.41,1110776,6.11,3.4289,3.416,3241.19,1951.4
3/9/15,67294551.49,-39.907931,9.353853119,5.714075505,162872360.2,25975510.61,15592796,21399269,779378.24,775386,6.63,3.3806,3.381,3302.41,1994.39
3/10/15,84797489.46,26.009443,9.338961682,4.365298591,174346099.9,6291295.95,11817494,24661231,990006.85,670929,6,3.3802,3.35,3286.07,2045.32
3/11/15,93074580.36,9.761009,9.927363177,4.067725393,248412317.2,-14027301.82,9723379,13514789,483006.76,492902,4.35,3.3824,3.347,3290.9,2035.83
3/12/15,118554711.6,27.376037,9.368053485,2.67619361,205746270.7,-22458699.04,5491484,5067603,489530.96,727923,3.6,3.5145,3.4644,3349.32,2018.13
3/13/15,91550434.48,-22.777903,9.168878347,2.518341449,194141712.5,23191006.43,4786453,4875912,825899.38,621826,3.002,3.5345,3.436,3372.91,2069.07
3/16/15,81602478.66,-10.866094,9.309545884,5.334672914,151975809,28532917.1,12559914,18356397,317308.51,686442,2.2,3.4598,3.403,3449.3,2142.67
3/17/15,72376755.9,-11.305689,9.235331085,4.942782396,172790204.9,51545300.44,9482332,11817494,2200465.42,1623545,2.47,3.3686,3.376,3502.85,2137.46
3/18/15,114122647.7,57.678589,8.823826387,5.772420845,160521662,9261071.63,11965345,9723379,719653.97,1073287,3.002,3.3971,3.369,3577.3,2182.92
